fuel_type,body_type,kilometers_driven,transmission,owner_no,manufacturer,model,model_year,central_variant_id,variant_name,price,registration_year,insurance,rto,top_eatures,comfort_features,interior_features,exterior_features,safety_features,entertainment_features,engine,max_power,torque,wheel_size,seats,color,engine_type,no_of_cylinders,values_per_cylinder,fuel_suppy_system,turbo_charger,length,width,height,wheel_base,kerb_weight,gear_box,drive_type,steering_type,front_brake_type,rear_brake_type,tyre_type,alloy_wheel_size,no_of_doors,cargo_volumn,city
petrol,suv,20000.0,automatic,1,kia,sonet,2022,8654,turbo dct anniversary edition,11.5,2022.0,third party,tn02,power steering power windows front air conditioner heater adjustable head lights fog lights front anti lock braking system brake assist radio,power steering power windows front power windows rear low fuel warning light accessory power outlet trunk light rear reading lamp rear seat headrest rear seat centre arm rest cup holders rear multifunction steering wheel cruise control rear acvents smart access card entry engine start stop button steering wheel gearshift paddles battery saver drive modes remote engine start stop adjustable headrest,air conditioner heater adjustable steering digital odometer electronic multi tripmeter leather seats fabric upholstery leather steering wheel glove compartment digital clock driving experience control eco height adjustable driver seat leather wrap gear shift selector,adjustable head lights fog lights front power adjustable exterior rear view mirror electric folding rear view mirror rear window defogger alloy wheels integrated antenna tinted glass rear spoiler sun roof moon roof outside rear view mirror turn indicators chrome grille roof rail leddrls ledheadlights ledtaillights,anti lock braking system brake assist centeral locking power door locks child safety locks driver air bag passenger air bag side air bag front day night rear view mirror passenger side rear view mirror rear seat belts seat belt warning vehicle stability control system traction control adjustable seats keyless entry engine check warning crash sensor automatic head lamps ebd follow me home headlamps rear camera anti pinch power windows speed sensing auto door lock isofix child seat mounts pretensioners and force limiter seatbelts hill assist impact sensing auto door lock no of airbags eletronic stability control,radio speakers front speakers rear integrated2din audio bluetooth touch screen number of speaker apple car play android auto,998.0,118.36,172.0,16.0,5.0,black,smartstream g1.0 t - gdi,3.0,4.0,gdi,yes,3995.0,1790.0,1642.0,2500.0,1465.0,7.0,fwd,electric,disc,drum,tubeless radial,16.0,5.0,392.0,chennai
petrol,minivans,20687.0,manual,1,maruti,eeco,2015,4025,7 seater standard bsiv,4.15,2015.0,comprehensive,tn04,low fuel warning light accessory power outlet heater digital odometer adjustable head lights manually adjustable exterior rear view mirror anti lock braking system child safety locks,low fuel warning light accessory power outlet rear seat headrest,heater digital odometer electronic multi tripmeter fabric upholstery glove compartment,adjustable head lights manually adjustable exterior rear view mirror wheel covers halogen headlamps,anti lock braking system child safety locks driver air bag passenger side rear view mirror halogen headlamps rear seat belts side impact beams front impact beams adjustable seats centrally mounted fuel tank engine immobilizer ebd no of airbags,,1196.0,73.0,101.0,15.751987883377508,7.0,grey,in-line engine,4.0,4.0,mpfi,no,3675.0,1475.0,1800.0,2350.0,943.0,5.0,rwd,manual,ventilated disc,drum,tubeless,15.751987883377508,5.0,540.0,chennai
petrol,suv,30000.0,manual,1,nissan,magnite,2021,8135,turbo xv premium bsvi,7.5,2021.0,third party,tn22,power steering power windows front air conditioner heater adjustable head lights fog lights front anti lock braking system brake assist radio,power steering power windows front power windows rear low fuel warning light accessory power outlet trunk light rear reading lamp rear seat headrest rear seat centre arm rest height adjustable front seat belts cup holders front cup holders rear seat lumbar support multifunction steering wheel cruise control rear acvents smart access card entry engine start stop button voice control gear shift indicator luggage hook and net adjustable headrest,air conditioner heater adjustable steering digital odometer tachometer fabric upholstery leather steering wheel glove compartment digital clock outside temperature display driving experience control eco height adjustable driver seat dual tone dashboard,adjustable head lights fog lights front power adjustable exterior rear view mirror electric folding rear view mirror rear window wiper rear window defogger alloy wheels integrated antenna tinted glass rear spoiler outside rear view mirror turn indicators chrome grille automatic driving lights roof rail leddrls ledheadlights ledtaillights ledfog lamps projector headlamps halogen headlamps,anti lock braking system brake assist centeral locking power door locks child safety locks anti theft alarm driver air bag passenger air bag day night rear view mirror passenger side rear view mirror halogen headlamps rear seat belts seat belt warning door ajar warning side impact beams front impact beams vehicle stability control system traction control adjustable seats keyless entry centrally mounted fuel tank engine immobilizer engine check warning tyre pressure monitor crash sensor ebd rear camera anti theft device anti pinch power windows speed sensing auto door lock isofix child seat mounts pretensioners and force limiter seatbelts hill assist impact sensing auto door lock view360camera no of airbags,radio speakers front speakers rear integrated2din audio bluetooth touch screen number of speaker touch screen size apple car play android auto wifi connectivity,999.0,98.63,160.0,16.0,5.0,others,hra0 1.0 turbo petrol,3.0,4.0,mpfi,yes,3994.0,1758.0,1572.0,2500.0,1014.0,5.0,unknown,electric,disc,drum,tubeless radial,16.0,5.0,336.0,chennai
petrol,hatchback,59247.0,manual,1,hyundai,i10,2015,1579,sportz 1.1l,3.98,2015.0,comprehensive,tn11,power steering power windows front air conditioner heater adjustable head lights fog lights front centeral locking power door locks cd player,power steering power windows front power windows rear remote fuel lid opener low fuel warning light vanity mirror rear seat headrest cup holders front,air conditioner heater adjustable steering digital odometer tachometer electronic multi tripmeter fabric upholstery glove compartment digital clock,adjustable head lights fog lights front manually adjustable exterior rear view mirror wheel covers power antenna chrome grille,centeral locking power door locks child safety locks anti theft alarm day night rear view mirror passenger side rear view mirror halogen headlamps rear seat belts seat belt warning door ajar warning side impact beams front impact beams adjustable seats keyless entry centrally mounted fuel tank engine immobilizer anti theft device,cd player radio speakers front speakers rear integrated2din audio usb auxiliary input,1086.0,68.05,99.04,15.751987883377508,5.0,silver,irde2 engine,4.0,3.0,mpfi,no,3585.0,1595.0,1550.0,2380.0,860.0,5.0,fwd,power,ventilated disc,drum,tubeless,15.751987883377508,5.0,225.0,chennai
petrol,hatchback,50000.0,manual,1,honda,jazz,2015,1341,1.2 vx i vtec,5.5,2015.0,third party,ka03,power steering power windows front air conditioner heater adjustable head lights fog lights front anti lock braking system centeral locking cd player,power steering power windows front power windows rear air quality control low fuel warning light accessory power outlet trunk light vanity mirror rear seat headrest cup holders front cup holders rear multifunction steering wheel navigation system lane change indicator,air conditioner heater adjustable steering digital odometer tachometer electronic multi tripmeter fabric upholstery leather steering wheel glove compartment digital clock outside temperature display height adjustable driver seat,adjustable head lights fog lights front power adjustable exterior rear view mirror electric folding rear view mirror rear window wiper rear window washer rear window defogger alloy wheels integrated antenna rear spoiler outside rear view mirror turn indicators chrome grille chrome garnish,anti lock braking system centeral locking power door locks child safety locks driver air bag passenger air bag day night rear view mirror passenger side rear view mirror halogen headlamps rear seat belts seat belt warning door ajar warning side impact beams front impact beams adjustable seats keyless entry centrally mounted fuel tank engine immobilizer crash sensor ebd rear camera anti theft device,cd player dvd player radio speakers front speakers rear integrated2din audio usb auxiliary input bluetooth touch screen number of speaker,1199.0,88.7,110.0,15.0,5.0,others,i-vtec petrol engine,4.0,4.0,pgm-fi,no,3955.0,1694.0,1544.0,2530.0,1042.0,5.0,fwd,power,disc,drum,tubeless radial,15.0,5.0,354.0,chennai
diesel,sedan,20000.0,automatic,1,mercedes-benz,e-class,2016,4570,e250 cdi avantgarde,33.0,2017.0,comprehensive,tn06,power steering power windows front air conditioner heater adjustable head lights power adjustable exterior rear view mirror anti lock braking system brake assist cd player,power steering power windows front power windows rear air quality control remote trunk opener remote fuel lid opener low fuel warning light accessory power outlet trunk light vanity mirror rear reading lamp rear seat headrest rear seat centre arm rest cup holders front cup holders rear seat lumbar support multifunction steering wheel cruise control rear acvents smart access card entry engine start stop button steering wheel gearshift paddles,air conditioner heater adjustable steering digital odometer tachometer electronic multi tripmeter leather seats leather steering wheel glove compartment outside temperature display cigarette lighter driving experience control eco height adjustable driver seat,adjustable head lights power adjustable exterior rear view mirror rain sensing wiper rear window defogger alloy wheels power antenna tinted glass sun roof outside rear view mirror turn indicators chrome garnish smoke headlamps,anti lock braking system brake assist centeral locking power door locks child safety locks driver air bag passenger air bag side air bag front day night rear view mirror passenger side rear view mirror xenon headlamps rear seat belts seat belt warning door ajar warning side impact beams front impact beams vehicle stability control system traction control adjustable seats keyless entry centrally mounted fuel tank engine immobilizer tyre pressure monitor crash sensor automatic head lamps ebd anti theft device,cd player cd changer radio speakers front speakers rear integrated2din audio usb auxiliary input bluetooth,2143.0,204.0,500.0,17.0,5.0,white,in-line diesel engine,4.0,4.0,crdi,yes,4879.0,2071.0,1474.0,2874.0,1800.0,7.0,rwd,power,ventilated disc,solid disc,tubeless radial,17.0,4.0,540.0,chennai
petrol,hatchback,29403.0,automatic,1,maruti,celerio,2016,3995,zxi at optional,4.53,2016.0,comprehensive,tn09,power steering power windows front air conditioner heater adjustable head lights power adjustable exterior rear view mirror anti lock braking system centeral locking cd player,power steering power windows front power windows rear remote trunk opener remote fuel lid opener low fuel warning light accessory power outlet vanity mirror rear seat headrest cup holders front multifunction steering wheel,air conditioner heater adjustable steering digital odometer tachometer electronic multi tripmeter fabric upholstery glove compartment digital clock outside temperature display,adjustable head lights power adjustable exterior rear view mirror rear window wiper rear window washer rear window defogger wheel covers power antenna outside rear view mirror turn indicators chrome grille,anti lock braking system centeral locking power door locks child safety locks driver air bag passenger air bag day night rear view mirror passenger side rear view mirror halogen headlamps rear seat belts seat belt warning door ajar warning side impact beams front impact beams adjustable seats keyless entry centrally mounted fuel tank engine immobilizer crash sensor anti theft device,cd player radio speakers front speakers rear integrated2din audio usb auxiliary input bluetooth,998.0,67.04,90.0,15.751987883377508,5.0,blue,k10b engine,3.0,4.0,mpfi,no,3715.0,1635.0,1565.0,2425.0,845.0,5.0,fwd,power,ventilated disc,drum,tubeless radial,15.751987883377508,5.0,235.0,chennai
petrol,hatchback,42700.0,manual,1,maruti,a-star,2010,3895,zxi,2.85,2010.0,comprehensive,tn05,power steering power windows front air conditioner heater adjustable head lights fog lights front centeral locking child safety locks cd player,power steering power windows front power windows rear remote trunk opener remote fuel lid opener low fuel warning light accessory power outlet vanity mirror rear reading lamp rear seat headrest cup holders front,air conditioner heater tachometer fabric upholstery glove compartment digital clock height adjustable driver seat,adjustable head lights fog lights front manually adjustable exterior rear view mirror rear window defogger alloy wheels power antenna rear spoiler,centeral locking child safety locks anti theft alarm passenger side rear view mirror halogen headlamps rear seat belts door ajar warning adjustable seats centrally mounted fuel tank engine immobilizer,cd player radio speakers front speakers rear usb auxiliary input,998.0,66.1,90.0,13.0,5.0,grey,k series petrol engine,3.0,4.0,mpfi,no,3500.0,1600.0,1490.0,2360.0,860.0,5.0,fwd,power,ventilated disc,drum,tubeless radial,13.0,5.0,362.11927013796173,chennai
diesel,suv,23001.0,automatic,1,bmw,x3,2018,6367,xdrive 20d luxury line,50.0,2018.0,comprehensive,tn07,power steering power windows front air conditioner heater adjustable head lights fog lights front anti lock braking system brake assist radio,power steering power windows front power windows rear air quality control remote trunk opener remote fuel lid opener low fuel warning light accessory power outlet trunk light vanity mirror rear reading lamp rear seat headrest rear seat centre arm rest height adjustable front seat belts cup holders front cup holders rear seat lumbar support multifunction steering wheel cruise control rear acvents navigation system smart access card entry engine start stop button glove box cooling voice control steering wheel gearshift paddles tailgate ajar luggage hook and net lane change indicator drive modes,air conditioner heater adjustable steering digital odometer tachometer electronic multi tripmeter leather seats leather steering wheel glove compartment digital clock outside temperature display cigarette lighter driving experience control eco height adjustable driver seat,adjustable head lights fog lights front power adjustable exterior rear view mirror electric folding rear view mirror rain sensing wiper rear window wiper rear window washer rear window defogger alloy wheels integrated antenna rear spoiler sun roof moon roof outside rear view mirror turn indicators chrome grille automatic driving lights roof rail leddrls,anti lock braking system brake assist centeral locking power door locks child safety locks anti theft alarm driver air bag passenger air bag side air bag front day night rear view mirror passenger side rear view mirror rear seat belts seat belt warning door ajar warning side impact beams front impact beams vehicle stability control system traction control adjustable seats keyless entry centrally mounted fuel tank engine immobilizer engine check warning tyre pressure monitor crash sensor automatic head lamps ebd rear camera anti theft device speed sensing auto door lock isofix child seat mounts pretensioners and force limiter seatbelts blind spot monitor hill descent control hill assist impact sensing auto door lock,radio speakers front speakers rear integrated2din audio usb auxiliary input bluetooth touch screen internal storage number of speaker touch screen size apple car play wireless phone charging,1995.0,187.7,400.0,19.0,5.0,grey,twinpower turbo 4-cylinder engine,4.0,4.0,crdi,yes,4708.0,1891.0,1676.0,2864.0,1690.0,8.0,awd,power,disc,disc,tubeless radial,19.0,5.0,485.0,chennai
petrol,suv,25925.0,automatic,2,ford,ecosport,2018,6088,1.5 petrol titanium plus at bsiv,8.21,2018.0,comprehensive,tn19,power steering power windows front air conditioner heater adjustable head lights fog lights front anti lock braking system brake assist cd player,power steering power windows front power windows rear remote trunk opener remote fuel lid opener low fuel warning light accessory power outlet trunk light vanity mirror rear seat headrest rear seat centre arm rest cup holders front cup holders rear multifunction steering wheel cruise control smart access card entry engine start stop button voice control steering wheel gearshift paddles gear shift indicator luggage hook and net,air conditioner heater adjustable steering digital odometer tachometer electronic multi tripmeter leather seats leather steering wheel glove compartment digital clock outside temperature display height adjustable driver seat,adjustable head lights fog lights front power adjustable exterior rear view mirror electric folding rear view mirror rain sensing wiper rear window wiper rear window washer rear window defogger alloy wheels integrated antenna outside rear view mirror turn indicators chrome grille roof rail,anti lock braking system brake assist centeral locking power door locks child safety locks driver air bag passenger air bag side air bag front passenger side rear view mirror rear seat belts seat belt warning door ajar warning side impact beams front impact beams vehicle stability control system traction control adjustable seats keyless entry centrally mounted fuel tank engine immobilizer engine check warning crash sensor automatic head lamps ebd follow me home headlamps rear camera anti theft device speed sensing auto door lock isofix child seat mounts pretensioners and force limiter seatbelts hill assist impact sensing auto door lock no of airbags,cd player radio speakers front speakers rear integrated2din audio usb auxiliary input bluetooth touch screen number of speaker,1497.0,121.36,150.0,16.0,5.0,black,ti-vct petrol engine,3.0,4.0,direct injection,no,3998.0,1765.0,1647.0,2519.0,1320.0,6.0,fwd,power,ventilated disc,drum,tubeless radial,16.0,4.0,352.0,chennai
